19218315, VIMLE, Sofas & armchairs, 900.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-4-seat-sofa-with-chaise-longue-gunnared-medium-grey-s19218315/, false,         Cover for 4-seat sofa, Ehlén Johansson, 0, 0, 0
49218267, VIMLE, Sofas & armchairs, 720.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-sofa-with-open-end-gunnared-beige-s49218267/, false,         Cover for 3-seat sofa, Ehlén Johansson, 0, 0, 0
69218285, VIMLE, Sofas & armchairs, 865.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-sofa-with-chaise-longue-gunnared-beige-s69218285/, false,         Cover for 3-seat sofa, Ehlén Johansson, 0, 0, 0
69218068, VIMLE, Sofas & armchairs, 660.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-sofa-orrsta-black-blue-s69218068/, false,         Cover for 3-seat sofa, Ehlén Johansson, 0, 0, 0
39294134, VIMLE, Sofas & armchairs, 540.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-sofa-bed-with-open-end-orrsta-black-blue-s39294134/, false,         Cover for 3-seat sofa-bed, Ehlén Johansson, 0, 0, 0
19294192, VIMLE, Sofas & armchairs, 685.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-sofa-bed-with-chaise-longue-orrsta-black-blue-s19294192/, false,         Cover for 3-seat sofa-bed, Ehlén Johansson, 0, 0, 0
29303327, VIMLE, Sofas & armchairs, 960.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-sofa-bed-dalstorp-multicolour-s29303327/, false,         Cover for 3-seat sofa-bed, Ehlén Johansson, 0, 0, 0
409447, VIMLE, Sofas & armchairs, 700.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-section-tallmyra-black-grey-00409447/, false,         Cover for 3-seat section, Ehlén Johansson, 0, 0, 0
19302328, VIMLE, Sofas & armchairs, 775.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-sofa-dalstorp-multicolour-s19302328/, false,         Cover for 2-seat sofa, Ehlén Johansson, 0, 0, 0
30433790, VIMLE, Sofas & armchairs, 435.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-sofa-bed-section-gunnared-beige-30433790/, false,         Cover for 2-seat sofa-bed section, 304.337.90 This cover is made of dope-dyed GUNNARED fabric in polyester. It is a durable fabric with a wool-like feel a warm look and a two-toned melange effect.The cover is easy to keep clean since it is removable and machine washable.This product is an extra cover. Sofa is sold separately.This cover’s ability to resist abrasion has been tested to handle 50000 cycles. 15000 cycles or more is suitable for furniture used every day at home. Over 30000 cycles means a good ability to resist abrasion.The cover has a lightfastness level of 5 (the ability to resist colour fading) on a scale of 1 to 8. According to industry standards a lightfastness level of 4 or higher is suitable for home use., 0, 0, 0
9293999, VIMLE, Sofas & armchairs, 495.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-sofa-bed-orrsta-black-blue-s09293999/, false,         Cover for 2-seat sofa-bed, Ehlén Johansson, 0, 0, 0
